,Emoji_ID,Emoji,Unicode_Name,Arabic_Name,Class,Total_Occurrence,Negativity_Occurrence_N(Negative),Neutrality_Occurrence_N(Neutral),Positivity_Occurrence_N(Positive),Negativite_Probability_P(Negative),Neutral_Probability_P(Neutral),Positive_Probability_P(Positive),Sentiment_Score_S,Sentiment_Label_L
68,b'\xf0\x9f\x99\x81',🙁, Slightly Frowning Face ,وجه عابس قليلا,Facial Expression,707,613,49,45,0.8647887323943662,0.07042253521126761,0.0647887323943662,-0.7999999999999999,negative
69,b'\xf0\x9f\x98\xa5',😥, Sad But Relieved Face ,وجه حزين لكن مرتاح,Facial Expression,705,590,83,32,0.8347457627118644,0.11864406779661017,0.046610169491525424,-0.788135593220339,negative
70,b'\xf0\x9f\x92\x93',💓, Beating Heart ,قلب نابض,Heart,674,62,37,575,0.0930576070901034,0.056129985228951254,0.8508124076809453,0.757754800590842,positive
71,b'\xf0\x9f\x87\xa6',🇦, Regional Indicator Symbol Letter A ,حرف رمز المؤشر الاقليمي أ,Symbol,662,50,175,437,0.07669172932330827,0.2646616541353383,0.6586466165413534,0.5819548872180451,positive
72,b'\xf0\x9f\x8c\xbc',🌼, Blossom ,ازهار,Nature,660,24,86,550,0.03770739064856712,0.13122171945701358,0.8310708898944194,0.7933634992458523,positive
73,b'\xf0\x9f\x92\x83',💃, Woman Dancing ,امراه ترقص,Body Language,659,139,88,432,0.21148036253776434,0.13444108761329304,0.6540785498489426,0.4425981873111783,positive
74,b'\xf0\x9f\xa4\xa6',🤦, Person Facepalming ,شخص يخبط وجهه,Body Language,655,399,101,155,0.60790273556231,0.15501519756838905,0.23708206686930092,-0.3708206686930091,negative
75,b'\xf0\x9f\x98\x9c',😜, Winking Face With Tongue ,وجه يغمز مخرجا لسانه,Facial Expression,651,356,116,179,0.5458715596330275,0.17889908256880735,0.27522935779816515,-0.2706422018348623,negative
76,b'\xf0\x9f\x8c\x9f',🌟, Glowing Star ,نجمه متوهجه,Nature,607,39,85,483,0.06557377049180328,0.14098360655737704,0.7934426229508197,0.7278688524590164,positive
77,b'\xf0\x9f\x95\x8a',🕊, Dove ,حمامه,Nature,601,95,70,436,0.15894039735099338,0.11754966887417219,0.7235099337748344,0.564569536423841,positive
78,b'\xf0\x9f\x87\xb8',🇸, Regional Indicator Symbol Letter S ,حرف رمز المؤشر الاقليمي س,Symbol,579,46,157,376,0.08075601374570447,0.27147766323024053,0.647766323024055,0.5670103092783505,positive
79,b'\xe2\x9c\x85',✅, White Heavy Check Mark ,علامه صح بيضاء غامقه,Symbol,574,71,360,143,0.12478336221837089,0.6256499133448874,0.24956672443674177,0.12478336221837089,positive
80,b'\xf0\x9f\x98\xaa',😪, Sleepy Face ,وجه نعس,Facial Expression,569,533,13,23,0.9335664335664335,0.024475524475524476,0.04195804195804196,-0.8916083916083916,negative
81,b'\xe2\x9a\xbd',⚽, Soccer Ball ,كره قدم,Object,562,29,391,142,0.05309734513274336,0.6938053097345133,0.25309734513274335,0.19999999999999998,positive
82,b'\xf0\x9f\x98\xa3',😣, Persevering Face ,وجه منصدم,Facial Expression,560,475,44,41,0.8454706927175843,0.07992895204262877,0.07460035523978685,-0.7708703374777975,negative
83,b'\xf0\x9f\x8e\xb6',🎶, Musical Notes ,نوتات موسيقيه,Symbol,549,101,90,358,0.18478260869565216,0.16485507246376813,0.6503623188405797,0.46557971014492755,positive
84,b'\xf0\x9f\x8f\x83',🏃, Person Running ,شخص يجري,Body Language,549,200,150,199,0.3641304347826087,0.27355072463768115,0.36231884057971014,-0.0018115942028985588,neutral
